Company Name,Industry,Symbol,Series,ISIN Code,Original_Industry
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ,INE477A01020,Financial Services
Capri Global Capital Ltd.,Financial Services,CGCL.NS,EQ,INE180C01026,Financial Services
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS,EQ,INE120A01034,Capital Goods
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS,EQ,INE172A01027,Oil Gas & Consumable Fuels
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,EQ,INE482A01020,Automobile and Auto Components
Central Bank of India,Financial Services,CENTRALBK.NS,EQ,INE483A01010,Financial Services
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,EQ,INE736A01011,Financial Services
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS,EQ,INE348B01021,Consumer Durables
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX.NS,EQ,INE055A01016,Forest Materials
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS,EQ,INE739E01017,Consumer Durables
Chalet Hotels Ltd.,Consumer Services,CHALET.NS,EQ,INE427F01016,Consumer Services
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,EQ,INE085A01013,Chemicals
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS.NS,EQ,INE488A01050,Chemicals
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS,EQ,INE149A01033,Financial Services
City Union Bank Ltd.,Financial Services,CUB.NS,EQ,INE491A01021,Financial Services
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS,EQ,INE227W01023,Chemicals
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,EQ,INE704P01025,Capital Goods
Coforge Ltd.,Information Technology,COFORGE.NS,EQ,INE591G01017,Information Technology
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,EQ,INE596I01012,Financial Services
Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS,EQ,INE338H01029,Healthcare
Container Corporation of India Ltd.,Services,CONCOR.NS,EQ,INE111A01025,Services
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,EQ,INE169A01031,Chemicals
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS,EQ,INE00LO01017,Automobile and Auto Components
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,EQ,INE741K01010,Financial Services
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS,EQ,INE299U01018,Consumer Durables
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,EQ,INE298A01020,Capital Goods
Cyient Ltd.,Information Technology,CYIENT.NS,EQ,INE136B01020,Information Technology
DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS,EQ,INE499A01024,Diversified
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,EQ,INE00R701025,Construction Materials
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS,EQ,INE0IX101010,Capital Goods
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS,EQ,INE501A01019,Chemicals
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS,EQ,INE288B01029,Chemicals
Delhivery Ltd.,Services,DELHIVERY.NS,EQ,INE148O01028,Services
Delta Corp Ltd.,Consumer Services,DELTACORP.NS,EQ,INE124G01033,Consumer Services
Devyani International Ltd.,Consumer Services,DEVYANI.NS,EQ,INE872J01023,Consumer Services
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,EQ,INE935N01020,Consumer Durables
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS,EQ,INE600L01024,Healthcare
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY.NS,EQ,INE126A01031,Chemicals
EIH Ltd.,Consumer Services,EIHOTEL.NS,EQ,INE230A01023,Consumer Services
EPL Ltd.,Capital Goods,EPL.NS,EQ,INE255A01020,Capital Goods
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,EQ,INE07O001026,Consumer Services
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,EQ,INE285A01027,Capital Goods
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS,EQ,INE548C01032,Fast Moving Consumer Goods
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS,EQ,INE913H01037,Automobile and Auto Components
Engineers India Ltd.,Construction,ENGINERSIN.NS,EQ,INE510A01028,Construction
Epigral Ltd.,Chemicals,EPIGRAL.NS,EQ,INE071N01016,Chemicals
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK.NS,EQ,INE063P01018,Financial Services
Eris Lifesciences Ltd.,Healthcare,ERIS.NS,EQ,INE406M01024,Healthcare
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS,EQ,INE042A01014,Capital Goods
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,EQ,INE302A01020,Automobile and Auto Components
FDC Ltd.,Healthcare,FDC.NS,EQ,INE258B01022,Healthcare
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS,EQ,INE388Y01029,Consumer Services
Federal Bank Ltd.,Financial Services,FEDERALBNK.NS,EQ,INE171A01029,Financial Services
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS,EQ,INE188A01015,Chemicals
Fine Organic Industries Ltd.,Chemicals,FINEORG.NS,EQ,INE686Y01026,Chemicals
Finolex Cables Ltd.,Capital Goods,FINCABLES.NS,EQ,INE235A01022,Capital Goods
Finolex Industries Ltd.,Capital Goods,FINPIPE.NS,EQ,INE183A01024,Capital Goods
Firstsource Solutions Ltd.,Services,FSL.NS,EQ,INE684F01012,Services
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS,EQ,INE128S01021,Financial Services
Fortis Healthcare Ltd.,Healthcare,FORTIS.NS,EQ,INE061F01013,Healthcare
G R Infraprojects Ltd.,Construction,GRINFRA.NS,EQ,INE201P01022,Construction
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR.NS,EQ,INE541A01023,Capital Goods
GMR Airports Infrastructure Ltd.,Services,GMRINFRA.NS,EQ,INE776C01039,Services
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF.NS,EQ,INE600K01018,Chemicals
General Insurance Corporation of India,Financial Services,GICRE.NS,EQ,INE481Y01014,Financial Services
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS,EQ,INE322A01010,Fast Moving Consumer Goods
Gland Pharma Ltd.,Healthcare,GLAND.NS,EQ,INE068V01023,Healthcare
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO.NS,EQ,INE159A01016,Healthcare
Glenmark Life Sciences Ltd.,Healthcare,GLS.NS,EQ,INE03Q201024,Healthcare
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS,EQ,INE935A01035,Healthcare
Global Health Ltd.,Healthcare,MEDANTA.NS,EQ,INE474Q01031,Healthcare
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS.NS,EQ,INE0BJS01011,Consumer Services
Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS,EQ,INE177H01021,Capital Goods
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS,EQ,INE260B01028,Fast Moving Consumer Goods
Godrej Industries Ltd.,Diversified,GODREJIND.NS,EQ,INE233A01035,Diversified
Godrej Properties Ltd.,Realty,GODREJPROP.NS,EQ,INE484J01027,Realty
Granules India Ltd.,Healthcare,GRANULES.NS,EQ,INE101D01020,Healthcare
Graphite India Ltd.,Capital Goods,GRAPHITE.NS,EQ,INE371A01025,Capital Goods
Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS,EQ,INE017A01032,Services
Grindwell Norton Ltd.,Capital Goods,GRINDWELL.NS,EQ,INE536A01023,Capital Goods
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI.NS,EQ,INE186A01019,Chemicals
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL.NS,EQ,INE036B01030,Fast Moving Consumer Goods
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS,EQ,INE09N301011,Chemicals
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS,EQ,INE844O01030,Oil Gas & Consumable Fuels
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC.NS,EQ,INE113A01013,Chemicals
Gujarat Pipavav Port Ltd.,Services,GPPL.NS,EQ,INE517F01014,Services
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC.NS,EQ,INE026A01025,Chemicals
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL.NS,EQ,INE246F01010,Oil Gas & Consumable Fuels
H.E.G. Ltd.,Capital Goods,HEG.NS,EQ,INE545A01016,Capital Goods
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS,EQ,INE127D01025,Financial Services
HFCL Ltd.,Telecommunication,HFCL.NS,EQ,INE548A01028,Telecommunication
HLE Glascoat Ltd.,Capital Goods,HLEGLAS.NS,EQ,INE461D01028,Capital Goods
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS,EQ,INE419U01012,Information Technology
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS,EQ,INE531E01026,Metals & Mining
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS,EQ,INE094A01015,Oil Gas & Consumable Fuels
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC.NS,EQ,INE267A01025,Metals & Mining
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS,EQ,INE07Y701011,Capital Goods
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST.NS,EQ,INE481N01025,Financial Services
Honeywell Automation India Ltd.,Capital Goods,HONAUT.NS,EQ,INE671A01010,Capital Goods
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS,EQ,INE031A01017,Financial Services
ICICI Securities Ltd.,Financial Services,ISEC.NS,EQ,INE763G01038,Financial Services
IDBI Bank Ltd.,Financial Services,IDBI.NS,EQ,INE008A01015,Financial Services
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB.NS,EQ,INE092T01019,Financial Services
IDFC Ltd.,Financial Services,IDFC.NS,EQ,INE043D01016,Financial Services
IIFL Finance Ltd.,Financial Services,IIFL.NS,EQ,INE530B01024,Financial Services
IRB Infrastructure Developers Ltd.,Construction,IRB.NS,EQ,INE821I01022,Construction
IRCON International Ltd.,Construction,IRCON.NS,EQ,INE962Y01021,Construction
ITI Ltd.,Telecommunication,ITI.NS,EQ,INE248A01017,Telecommunication
India Cements Ltd.,Construction Materials,INDIACEM.NS,EQ,INE383A01012,Construction Materials
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN.NS,EQ,INE148I01020,Financial Services
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS,EQ,INE933S01016,Consumer Services
Indian Bank,Financial Services,INDIANB.NS,EQ,INE562A01011,Financial Services
Indian Energy Exchange Ltd.,Financial Services,IEX.NS,EQ,INE022Q01020,Financial Services
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS,EQ,INE053A01029,Consumer Services
Indian Overseas Bank,Financial Services,IOB.NS,EQ,INE565A01014,Financial Services
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS,EQ,INE053F01010,Financial Services
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS.NS,EQ,INE09VQ01012,Consumer Durables
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS,EQ,INE203G01027,Oil Gas & Consumable Fuels
Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS,EQ,INE121J01017,Telecommunication
Infibeam Avenues Ltd.,Financial Services,INFIBEAM.NS,EQ,INE483S01020,Financial Services
Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND.NS,EQ,INE177A01018,Capital Goods
Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS,EQ,INE306R01017,Information Technology
Ipca Laboratories Ltd.,Healthcare,IPCALAB.NS,EQ,INE571A01038,Healthcare
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM.NS,EQ,INE572A01036,Healthcare
J.K. Cement Ltd.,Construction Materials,JKCEMENT.NS,EQ,INE823G01014,Construction Materials
JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS,EQ,INE927D01044,Automobile and Auto Components
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI.NS,EQ,INE786A01032,Construction Materials
JK Paper Ltd.,Forest Materials,JKPAPER.NS,EQ,INE789E01012,Forest Materials
JM Financial Ltd.,Financial Services,JMFINANCIL.NS,EQ,INE780C01023,Financial Services
JSW Energy Ltd.,Power,JSWENERGY.NS,EQ,INE121E01018,Power
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO.NS,EQ,INE039C01032,Automobile and Auto Components
Jindal Saw Ltd.,Capital Goods,JINDALSAW.NS,EQ,INE324A01024,Capital Goods
Jindal Stainless Ltd.,Metals & Mining,JSL.NS,EQ,INE220G01021,Metals & Mining
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS,EQ,INE797F01020,Consumer Services
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS,EQ,INE0BY001018,Chemicals
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA.NS,EQ,INE700A01033,Healthcare
Justdial Ltd.,Consumer Services,JUSTDIAL.NS,EQ,INE599M01018,Consumer Services
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS,EQ,INE668F01031,Fast Moving Consumer Goods
K.P.R. Mill Ltd.,Textiles,KPRMILL.NS,EQ,INE930H01031,Textiles
KEI Industries Ltd.,Capital Goods,KEI.NS,EQ,INE878B01027,Capital Goods
KNR Constructions Ltd.,Construction,KNRCON.NS,EQ,INE634I01029,Construction
KPIT Technologies Ltd.,Information Technology,KPITTECH.NS,EQ,INE04I401011,Information Technology
KRBL Ltd.,Fast Moving Consumer Goods,KRBL.NS,EQ,INE001B01026,Fast Moving Consumer Goods
KSB Ltd.,Capital Goods,KSB.NS,EQ,INE999A01015,Capital Goods
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS,EQ,INE217B01036,Consumer Durables
Kalpataru Projects International Ltd.,Construction,KPIL.NS,EQ,INE220B01022,Construction
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS,EQ,INE303R01014,Consumer Durables
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER.NS,EQ,INE531A01024,Consumer Durables
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA.NS,EQ,INE036D01028,Financial Services
Kaynes Technology India Ltd.,Capital Goods,KAYNES.NS,EQ,INE918Z01012,Capital Goods
Kec International Ltd.,Capital Goods,KEC.NS,EQ,INE389H01022,Capital Goods
Kfin Technologies Ltd.,Financial Services,KFINTECH.NS,EQ,INE138Y01010,Financial Services
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS.NS,EQ,INE967H01017,Healthcare
L&T Finance Holdings Ltd.,Financial Services,L&TFH.NS,EQ,INE498L01015,Financial Services
L&T Technology Services Ltd.,Information Technology,LTTS.NS,EQ,INE010V01017,Information Technology
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS,EQ,INE115A01026,Financial Services
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH.NS,EQ,INE269B01029,Capital Goods
Latent View Analytics Ltd.,Information Technology,LATENTVIEW.NS,EQ,INE0I7C01011,Information Technology
Laurus Labs Ltd.,Healthcare,LAURUSLABS.NS,EQ,INE947Q01028,Healthcare
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM.NS,EQ,INE576O01020,Chemicals
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE.NS,EQ,INE970X01018,Consumer Services
Linde India Ltd.,Chemicals,LINDEINDIA.NS,EQ,INE473A01011,Chemicals
Lupin Ltd.,Healthcare,LUPIN.NS,EQ,INE326A01037,Healthcare
Lux Industries Ltd.,Textiles,LUXIND.NS,EQ,INE150G01020,Textiles
MMTC Ltd.,Services,MMTC.NS,EQ,INE123F01029,Services
MRF Ltd.,Automobile and Auto Components,MRF.NS,EQ,INE883A01011,Automobile and Auto Components
MTAR Technologies Ltd.,Capital Goods,MTARTECH.NS,EQ,INE864I01014,Capital Goods
Macrotech Developers Ltd.,Realty,LODHA.NS,EQ,INE670K01029,Realty
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL.NS,EQ,INE002S01010,Oil Gas & Consumable Fuels
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS,EQ,INE774D01024,Financial Services
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL.NS,EQ,INE998I01010,Consumer Services
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE.NS,EQ,INE813A01018,Realty
Manappuram Finance Ltd.,Financial Services,MANAPPURAM.NS,EQ,INE522D01027,Financial Services
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL.NS,EQ,INE103A01014,Oil Gas & Consumable Fuels
Mankind Pharma Ltd.,Healthcare,MANKIND.NS,EQ,INE634S01028,Healthcare
Mastek Ltd.,Information Technology,MASTEK.NS,EQ,INE759A01021,Information Technology
Max Financial Services Ltd.,Financial Services,MFSL.NS,EQ,INE180A01020,Financial Services
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH.NS,EQ,INE027H01010,Healthcare
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK.NS,EQ,INE249Z01012,Capital Goods
Medplus Health Services Ltd.,Consumer Services,MEDPLUS.NS,EQ,INE804L01022,Consumer Services
Metro Brands Ltd.,Consumer Durables,METROBRAND.NS,EQ,INE317I01021,Consumer Durables
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS.NS,EQ,INE112L01020,Healthcare
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP.NS,EQ,INE842C01021,Automobile and Auto Components
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI.NS,EQ,INE0FS801015,Automobile and Auto Components
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS,EQ,INE338I01027,Financial Services
MphasiS Ltd.,Information Technology,MPHASIS.NS,EQ,INE356A01018,Information Technology
Multi Commodity Exchange of India Ltd.,Financial Services,MCX.NS,EQ,INE745G01035,Financial Services
NATCO Pharma Ltd.,Healthcare,NATCOPHARM.NS,EQ,INE987B01026,Healthcare
NBCC (India) Ltd.,Construction,NBCC.NS,EQ,INE095N01031,Construction
NCC Ltd.,Construction,NCC.NS,EQ,INE868B01028,Construction
NHPC Ltd.,Power,NHPC.NS,EQ,INE848E01016,Power
NLC India Ltd.,Power,NLCINDIA.NS,EQ,INE589A01014,Power
NMDC Ltd.,Metals & Mining,NMDC.NS,EQ,INE584A01023,Metals & Mining
NMDC Steel Ltd.,Metals & Mining,NSLNISP.NS,EQ,INE0NNS01018,Metals & Mining
Narayana Hrudayalaya Ltd.,Healthcare,NH.NS,EQ,INE410P01011,Healthcare
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS,EQ,INE139A01034,Metals & Mining
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS,EQ,INE048G01026,Chemicals
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA.NS,EQ,INE418L01021,Media Entertainment & Publication
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18.NS,BE,INE870H01013,Media Entertainment & Publication
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA.NS,EQ,INE298J01013,Financial Services
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS,EQ,INE118D01016,Construction Materials
Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS,EQ,INE093I01010,Realty
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL.NS,EQ,INE274J01014,Oil Gas & Consumable Fuels
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA.NS,EQ,INE260D01016,Automobile and Auto Components
One 97 Communications Ltd.,Financial Services,PAYTM.NS,EQ,INE982J01020,Financial Services
Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS,EQ,INE881D01027,Information Technology
Orient Electric Ltd.,Consumer Durables,ORIENTELEC.NS,EQ,INE142Z01019,Consumer Durables
PB Fintech Ltd.,Financial Services,POLICYBZR.NS,EQ,INE417T01026,Financial Services
PCBL Ltd.,Chemicals,PCBL.NS,EQ,INE602A01031,Chemicals
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING.NS,EQ,INE572E01012,Financial Services
PNC Infratech Ltd.,Construction,PNCINFRA.NS,EQ,INE195J01029,Construction
