Title,Description,Date,Source,Link
"Sensex rises 140 points, Nifty above 21,760; LIC jumps 5%, Zomato 4%",Blue-chip Nifty 50 and Sensex indexes dropped 1% each on Thursday after the Reserve Bank of India (RBI) kept its inflation forecast for fiscal 2025 above its target of 4%.,"09:36 AM, 09 Feb 2024",Facebook,
CBDC: Has RBI monetary policy injected a new life into the digital currency?,RBI Governor Shaktikanta Das said in his monetary policy speech that the Central Bank Digital Currency would be pre-programmed for specific use cases. Moneycontrol spoke with experts to glean insights into how this would work,"09:11 AM, 09 Feb 2024",Facebook,
Just coming to our own in India; confident of growing our US business in next fiscal year: Lupin management,"Lupin's margin guidance remains around 19.5-20.5%. The company attributes its success to the pivot to complex products, cost-led initiatives, and positive factors like input cost tailwinds. However, there are potential negatives such as disruptions and freight costs that need to be considered. Lupin  is just coming to its own in India and would want to replicate this growth.","09:04 AM, 09 Feb 2024",Facebook,
"MC Pro Inside Edge: Poker game on in Shalimar Paints, HNIs fish in troubled Paytm waters, Desi Soros’s LIC bet, promoter bulls","Know what stocks veteran bulls are eyeing, what the bears are ganging up against, major deals and all the inner goings-on from Dalal Street","08:10 AM, 09 Feb 2024",Facebook,
"Bharti Airtel's Road To Dividend Policy: Rising Cash Flows, Tapering Debt","Bharti Airtel has inconsistently given out dividend in the last few years, even as the telecom sector in India has faced major regulatory headwinds.","08:06 AM, 09 Feb 2024",Facebook,
"S&P 500 ends just shy of 5,000 mark after touching milestone","The benchmark S&P 500 index managed to eke out a small gain on Thursday after briefly hitting the 5,000-point milestone, as investors reacted to earnings reports, a roughly in-line jobs report and remarks from policymakers on interest rate cuts.","07:42 AM, 09 Feb 2024",Facebook,
"Xi Can’t Use 2015 Playbook To Calm China Markets, Investors Say","Even if policymakers do ramp up the rescue mission, investors say the old playbook won’t be enough to satisfy questions over the long-term health of China’s slowing economy.","07:31 AM, 09 Feb 2024",Facebook,
"Stocks in news: Hero MotoCorp, Honasa Consumer, LIC, Zomato, Tata Power","Shares of Hero MotoCorp, Honasa Consumer, IRFC and Tata Power will be in focus as the companies will report their third quarter earnings today.","06:02 AM, 09 Feb 2024",Facebook,
RBI's nimble and flexible in managing liquidity: Guv,"Since April 2022, the RBI has adopted a stance of focusing on withdrawal of accommodation to tackle inflation. Liquidity in the banking system has been at a deficit over the past six months, with the weighted average call rate (WACR) broadly remaining 20-25 basis points above the repo rate from August to January. The WACR is the operating target of the RBI's monetary policy.","05:31 AM, 09 Feb 2024",Facebook,
Stock indices drop on concerns over tighter liquidity,"Large private banks led the sell-off, while public sector lenders and information technology stocks bucked the weak trend. NSE's Nifty fell 212.5 points, or 0.97%, to close at 21,717.9. The BSE Sensex declined 723.5 points, or 1%, to end at 71,428.4.","05:27 AM, 09 Feb 2024",Facebook,
RBI pegs GDP growth at 7% in FY25 amid corporate investments,"The Reserve Bank of India (RBI) projects India's economy to grow by 7% in FY25, maintaining its world-leading pace for a second consecutive year. Governor Shaktikanta Das highlights ongoing momentum in economic activity, with real GDP expected to climb 7.3% in FY24. Despite optimism, concerns over food price shocks prompt RBI to sustain its policy of withdrawing accommodation, with inflation projected at 5.4% for FY24 and 4.5% for FY25. The bank also revises quarterly GDP projections upwards, signaling continued growth across sectors.","12:12 AM, 09 Feb 2024",Facebook,
Sanghi gets shareholders' nod for related-party transactions,"Of the public institutions that voted, a little over 93% were in favour of the transactions related to ACC and Ambuja Cements. Voting in non-institutional public shareholders showed nearly 86% in favour of the transaction.","10:43 PM, 08 Feb 2024",Facebook,
"RBI Monetary Policy: Central Bank In No Hurry To Cut Rates, Say Economists","The benchmark lending rate was retained at 6.5%, along with a status quo on the stance.","10:21 PM, 08 Feb 2024",Facebook,
Srinagar terror attack: Second victim dies; security tightened in city,"While police are actively working to solve the case, Birdi asserted that security grids are in place and are operational. Authorities have asked the public to remain cautious and vigilant in the wake of the attack.","10:16 PM, 08 Feb 2024",Facebook,
"RBI post policy Q&A | Here is what the governor, deputy governors said on Paytm issue, liquidity",The RBI will issue FAQ on Paytm next week.,"10:14 PM, 08 Feb 2024",Facebook,
"Fed Has Time To Be Patient On Cutting Interest Rates, Barkin Says","Federal Reserve Bank of Richmond President Thomas Barkin reiterated policymakers have time to be patient about the timing of rate cuts, pointing to a strong labor market and continued disinflation.","08:14 PM, 08 Feb 2024",Facebook,
"LIC net rises 49% in Q3 to ₹9444 cr., declares ₹4 interim dividend",,"08:01 PM, 08 Feb 2024",Facebook,
India to replace military personnel in Maldives with civilians after president demanded they leave,At least 75 Indian military personnel are believed to be in Maldives and their known activities include transporting patients from remote islands and rescuing people at sea. India earlier gave the Maldives a Dornier airplane and two helicopters.,"07:29 PM, 08 Feb 2024",Facebook,
Dollar picks up steam; yen falls past 149 per dollar,"The U.S. dollar rose on Thursday but held below a 12-week high reached earlier in the week, as traders digested comments from policymakers in the previous session that suggested rates would remain higher for longer.","07:21 PM, 08 Feb 2024",Facebook,
Should IPO investors book profit in LIC shares after record surge?,,"06:50 PM, 08 Feb 2024",Facebook,
LIC Declares Interim Dividend Of Rs 4 Per Share,The state-run insurer had paid a final dividend of Rs 3 per share in July last year.,"06:39 PM, 08 Feb 2024",Facebook,
